architecture,seed,condition,mode,channel,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean,original_auroc,original_auprc,original_pre_fpr,delta_auroc,delta_auprc,delta_pre_fpr
gru,46,conditional_XMV_03,conditional,3.0,1,20,0.8473002314567566,0.9952482973421928,0.9976172622068326,0.01,1.0,4.05,0.9952463870431894,0.9976134653165624,0.00975,-1.910299003426985e-06,-3.7968902701912555e-06,0.0002500000000000002
gru,46,conditional_XMV_03,conditional,3.0,2,20,0.8473002314567566,0.9904941445182724,0.9951342793471866,0.009,1.0,10.2,0.9905171511627908,0.9951476925018228,0.0095,2.3006644518375197e-05,1.34131546362104e-05,-0.0005000000000000004
gru,46,conditional_XMV_03,conditional,3.0,3,20,0.8473002314567566,0.5455374584717608,0.6360659548489821,0.0095,0.0,302.0,0.5452817898671096,0.6354919040269659,0.00975,-0.00025566860465120467,-0.0005740508220162255,-0.0002500000000000002
gru,46,conditional_XMV_03,conditional,3.0,4,20,0.8473002314567566,0.9768562292358804,0.983890342887458,0.01075,1.0,2.0,0.9766724252491694,0.9837427305784876,0.0105,-0.0001838039867110286,-0.000147612308970424,0.0002499999999999985
gru,46,conditional_XMV_03,conditional,3.0,5,20,0.8473002314567566,0.5010379775747509,0.6062076217038956,0.0105,0.0,302.0,0.5011724044850498,0.6062131167695718,0.01,0.00013442691029896814,5.49506567615321e-06,0.0005000000000000004
gru,46,conditional_XMV_03,conditional,3.0,6,20,0.8473002314567566,0.9979925664451827,0.9990606722619454,0.00875,1.0,1.0,0.997984634551495,0.9990578482963844,0.00925,-7.93189368775149e-06,-2.8239655609496594e-06,-0.0004999999999999987
gru,46,conditional_XMV_03,conditional,3.0,7,20,0.8473002314567566,0.99669375,0.9983913506051808,0.01125,1.0,2.0,0.996690365448505,0.9983899315191876,0.01175,-3.384551495067001e-06,-1.4190859931595412e-06,-0.0005000000000000004
gru,46,conditional_XMV_03,conditional,3.0,8,20,0.8473002314567566,0.9695914451827242,0.985083290060931,0.00975,1.0,22.95,0.9695984634551496,0.9850933078899736,0.0095,7.018272425329819e-06,1.0017829042641146e-05,0.0002500000000000002
gru,46,conditional_XMV_03,conditional,3.0,9,20,0.8473002314567566,0.5437422342192691,0.6384197968649631,0.01175,0.0,302.0,0.5435752491694352,0.6383396334346886,0.01275,-0.00016698504983392315,-8.016343027450468e-05,-0.0009999999999999992
gru,46,conditional_XMV_03,conditional,3.0,10,20,0.8473002314567566,0.9230194975083056,0.9594992524262363,0.0115,1.0,41.5,0.923210568936877,0.9596207570658852,0.01125,0.00019107142857144321,0.00012150463964888392,0.0002500000000000002
gru,46,conditional_XMV_03,conditional,3.0,11,20,0.8473002314567566,0.9824587209302326,0.9908896640784128,0.0085,1.0,8.55,0.9824344061461794,0.9908795838918288,0.00825,-2.4314784053180993e-05,-1.00801865839939e-05,0.0002500000000000002
gru,46,conditional_XMV_03,conditional,3.0,12,20,0.8473002314567566,0.8031799210963455,0.880200096920085,0.01125,1.0,25.25,0.8029352159468438,0.8800314933533525,0.01125,-0.0002447051495017005,-0.00016860356673253918,0.0
gru,46,conditional_XMV_03,conditional,3.0,13,20,0.8473002314567566,0.947780107973422,0.9746342020040764,0.0115,1.0,33.6,0.9477892857142856,0.9746389297372916,0.01125,9.177740863508532e-06,4.727733215248442e-06,0.0002500000000000002
gru,46,conditional_XMV_03,conditional,3.0,14,20,0.8473002314567566,0.9956504568106312,0.9978431118730108,0.00975,1.0,3.75,0.9956656976744186,0.997849755012782,0.0095,1.5240863787346903e-05,6.643139771167483e-06,0.0002500000000000002
gru,46,conditional_XMV_03,conditional,3.0,15,20,0.8473002314567566,0.5125225705980067,0.6159553292630076,0.01175,0.0,302.0,0.5122161337209302,0.6159625027773169,0.01175,-0.0003064368770764325,7.17351430934432e-06,0.0
gru,46,conditional_XMV_03,conditional,3.0,16,20,0.8473002314567566,0.5141355689368771,0.6138536195215448,0.0095,0.0,302.0,0.5141187084717608,0.6140962232550335,0.00975,-1.686046511628625e-05,0.0002426037334887221,-0.0002500000000000002
gru,46,conditional_XMV_03,conditional,3.0,17,20,0.8473002314567566,0.9527251245847176,0.9772321725011976,0.0085,1.0,30.75,0.9526912375415284,0.9772149537686164,0.008,-3.3887043189184674e-05,-1.7218732581203433e-05,0.0005000000000000004
gru,46,conditional_XMV_03,conditional,3.0,18,20,0.8473002314567566,0.88574271179402,0.9379685394872322,0.01025,1.0,62.25,0.8856800041528239,0.9379143755589736,0.01075,-6.27076411960914e-05,-5.416392825863259e-05,-0.0004999999999999987
gru,46,conditional_XMV_03,conditional,3.0,19,20,0.8473002314567566,0.9541662167774086,0.975561592305848,0.01,1.0,27.35,0.9542154900332226,0.9755953682323236,0.00975,4.927325581394193e-05,3.377592647557659e-05,0.0002500000000000002
gru,46,conditional_XMV_03,conditional,3.0,20,20,0.8473002314567566,0.939414431063123,0.9702780157923522,0.0095,1.0,40.7,0.9394400332225914,0.9702826747183746,0.009,2.56021594684519e-05,4.658926022416132e-06,0.0005000000000000004
gru,46,conditional_XMV_03,conditional,3.0,21,20,0.8473002314567566,0.4980433970099668,0.5978027610848674,0.00975,0.0,302.0,0.4984669850498339,0.5975427313288815,0.01025,0.0004235880398670844,-0.0002600297559859355,-0.0005000000000000004
gru,46,conditional_XMV_03,conditional,3.0,22,20,0.8473002314567566,0.5678760589700996,0.656094208236645,0.0105,0.0,302.0,0.5675300664451828,0.656049473409075,0.01075,-0.0003459925249168494,-4.473482756994773e-05,-0.0002499999999999985
gru,46,conditional_XMV_03,conditional,3.0,23,20,0.8473002314567566,0.5147779069767442,0.6109933349210032,0.00975,0.0,302.0,0.5355757059800664,0.6278469803772752,0.0095,0.020797799003322237,0.016853645456271993,0.0002500000000000002
gru,46,conditional_XMV_03,conditional,3.0,24,20,0.8473002314567566,0.9717109219269104,0.985393798457308,0.01025,1.0,14.85,0.9718053571428572,0.9854357087539476,0.011,9.44352159467643e-05,4.1910296639580125e-05,-0.0007499999999999989
gru,46,conditional_XMV_03,conditional,3.0,25,20,0.8473002314567566,0.89300625,0.9374027852975034,0.00775,1.0,31.2,0.8932264742524917,0.9375149328330558,0.00775,0.0002202242524916853,0.00011214753555233159,0.0
gru,46,conditional_XMV_03,conditional,3.0,26,20,0.8473002314567566,0.9238426702657808,0.9591101410875196,0.01075,1.0,30.05,0.9239101951827242,0.959121884148731,0.01025,6.752491694339557e-05,1.1743061211433314e-05,0.0004999999999999987
gru,46,conditional_XMV_03,conditional,3.0,27,20,0.8473002314567566,0.8748231727574751,0.9226899093760113,0.00975,1.0,16.0,0.8750355689368771,0.9227458907556544,0.01,0.00021239617940194133,5.598137964313299e-05,-0.0002500000000000002
gru,46,conditional_XMV_03,conditional,3.0,28,20,0.8473002314567566,0.5562430440199335,0.6608738624298205,0.01,0.0,302.0,0.5562675249169435,0.6607830869573832,0.009,2.4480897010015212e-05,-9.077547243729889e-05,0.0010000000000000009
gru,46,conditional_XMV_04,conditional,4.0,1,20,0.8499171137809753,0.9951971760797342,0.9975929920261516,0.00975,1.0,4.2,0.9952463870431894,0.9976134653165624,0.00975,4.921096345511522e-05,2.047329041077184e-05,0.0
gru,46,conditional_XMV_04,conditional,4.0,2,20,0.8499171137809753,0.9902252906976744,0.99502179997556,0.00875,1.0,10.6,0.9905171511627908,0.9951476925018228,0.0095,0.0002918604651164225,0.00012589252626282743,-0.0007499999999999989
gru,46,conditional_XMV_04,conditional,4.0,3,20,0.8499171137809753,0.5437355274086378,0.6341088579187573,0.0095,0.0,302.0,0.5452817898671096,0.6354919040269659,0.00975,0.001546262458471781,0.0013830461082086076,-0.0002500000000000002
gru,46,conditional_XMV_04,conditional,4.0,4,20,0.8499171137809753,0.974359634551495,0.9821170171595698,0.01025,1.0,2.0,0.9766724252491694,0.9837427305784876,0.0105,0.0023127906976744272,0.001625713418917818,-0.0002500000000000002
gru,46,conditional_XMV_04,conditional,4.0,5,20,0.8499171137809753,0.5018784468438539,0.6067577488906244,0.00875,0.0,302.0,0.5011724044850498,0.6062131167695718,0.01,-0.0007060423588040043,-0.0005446321210526017,-0.0012499999999999994
gru,46,conditional_XMV_04,conditional,4.0,6,20,0.8499171137809753,0.9980367109634553,0.9990766725887792,0.0085,1.0,1.0,0.997984634551495,0.9990578482963844,0.00925,-5.20764119602557e-05,-1.882429239474792e-05,-0.0007499999999999989
